                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5267,                 1.8306,                 1.3581,                0.89666,                0.86961,                0.91539,                 0.4869,                 1.5302,                  1.105,                 1.3808,             0.00065686,             0.00065686,             0.00065686
                      2,                 1.3927,                0.90964,                 1.2882,                 0.8958,                0.88033,                0.90161,                0.47503,                 1.5342,                 1.5508,                 1.5507,              0.0013104,              0.0013104,              0.0013104
                      3,                 1.4227,                0.86256,                 1.3293,                0.85582,                0.87935,                 0.9085,                 0.4968,                   1.47,                 1.6876,                 1.5497,              0.0019508,              0.0019508,              0.0019508
                      4,                 1.3598,                0.83451,                 1.3021,                0.82588,                0.74404,                0.84623,                0.46645,                 1.5586,                 1.4354,                 1.6148,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3282,                0.80177,                 1.2893,                0.93303,                0.88028,                0.93902,                0.56137,                 1.4166,                0.94482,                 1.4409,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2987,                0.76668,                 1.2562,                0.94192,                0.94336,                0.96193,                0.58843,                 1.3317,                  0.741,                 1.3944,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2626,                0.73404,                  1.244,                0.95422,                0.94771,                 0.9719,                0.61278,                 1.3458,                0.70348,                 1.3758,               0.001901,               0.001901,               0.001901
                      8,                 1.2361,                0.71859,                   1.22,                0.96757,                0.93246,                0.97424,                0.62084,                 1.3035,                0.66327,                 1.3684,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2015,                0.66986,                 1.2022,                0.95689,                0.95425,                 0.9697,                0.59973,                 1.3484,                0.61731,                 1.3901,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.195,                0.66145,                 1.2096,                0.96234,                0.93464,                 0.9753,                0.63988,                 1.2659,                0.60401,                 1.3058,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1593,                0.64655,                 1.1788,                0.94604,                0.95485,                 0.9687,                0.59716,                 1.3018,                0.69322,                 1.3784,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1738,                 0.6459,                 1.1899,                0.96389,                0.94989,                0.97466,                0.64156,                 1.2352,                0.59418,                   1.31,               0.001802,               0.001802,               0.001802
                     13,                 1.1346,                0.62508,                  1.162,                0.97788,                0.96296,                  0.982,                0.64204,                 1.2722,                0.55036,                 1.3381,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1499,                0.62198,                  1.178,                0.96226,                0.94445,                0.96894,                 0.6267,                 1.2962,                0.59357,                 1.3448,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1374,                0.61606,                 1.1663,                0.97759,                0.96514,                0.98175,                 0.6634,                 1.2298,                0.55996,                 1.3062,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.141,                0.61176,                 1.1842,                0.96707,                0.94118,                0.96987,                0.62357,                 1.2765,                 0.6083,                 1.3498,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1145,                0.59178,                 1.1543,                0.97771,                0.95545,                0.98044,                0.67402,                 1.1992,                0.52174,                 1.3021,               0.001703,               0.001703,               0.001703
                     18,                 1.0885,                0.58279,                 1.1441,                0.96392,                0.95861,                0.97998,                0.65436,                 1.2272,                0.53287,                 1.2986,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0791,                0.56117,                 1.1488,                0.96467,                0.95179,                0.97531,                0.66482,                   1.25,                 0.5342,                 1.2913,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0899,                0.58268,                 1.1452,                0.95719,                0.96732,                0.97738,                0.65254,                 1.2223,                0.54313,                 1.2971,              0.0016436,              0.0016436,              0.0016436
